Importers,Value imported in 2024 (USD thousand),Trade balance in 2024 (USD thousand),Quantity imported in 2024,Unit value (USD/unit),Annual growth in value between 2020-2024 (%),Annual growth in quantity between 2020-2024 (%),Annual growth in value between 2023-2024 (%),Share in world imports (%),Average distance of supplying countries (km),Concentration of supplying countries,Average tariff (estimated) applied by the country (%),Region,Concerterntion of supplier
"Venezuela, Bolivarian Republic of",341,17,369,925,46,19,-17,0,10439,0.2,9.6,South America,Not Manoply
Honduras,338,-38,347,974,-4,-10,15,0,10034,0.26,0,North America,Not Manoply
"Moldova, Republic of",306,-283,280,1093,15,4,13,0,1106,0.32,2.4,Europe,Not Manoply
Georgia,288,-288,200,1440,9,38,36,0,1551,0.49,0,Europe,Not Manoply
Jamaica,276,-276,210,1315,42,81,12,0,3740,0.56,0,North America,Manoply
Bangladesh,248,27143,247,1004,-20,-38,20,0,2020,0.37,10,South Asia,Not Manoply
Madagascar,228,-228,393,580,17,15,53,0,9579,0.5,4.1,Africa,Not Manoply
Iceland,225,-225,71,3169,18,15,30,0,2146,0.23,0,Europe,Not Manoply
Bosnia and Herzegovina,222,-222,164,1354,7,-8,-8,0,820,0.15,0,Europe,Not Manoply
Armenia,221,-175,177,1249,7,-8,-35,0,2508,0.33,4.8,Middle East,Not Manoply
Lebanon,216,-216,350,617,14,20,-44,0,1806,0.39,0,Middle East,Not Manoply
Cyprus,205,-205,249,823,24,27,-63,0,2620,0.45,1.8,Europe,Not Manoply
Trinidad and Tobago,200,-182,158,1266,8,3,-19,0,5946,0.25,0,North America,Not Manoply
Malawi,188,-188,134,1403,9,9,6,0,2029,0.94,0,Africa,Manoply
Barbados,182,-182,54,3370,14,6,-4,0,4229,0.93,4.2,North America,Manoply
Afghanistan,178,-178,287,620,33,4,19,0,2850,0.48,1.8,South Asia,Not Manoply
Luxembourg,170,-135,556,306,6,8,6,0,232,0.51,1.8,Europe,Manoply
"Macedonia, North",170,-164,193,881,0,4,-3,0,974,0.23,0,Europe,Not Manoply
Montenegro,167,-167,223,750,17,4,30,0,1755,0.39,0.6,Europe,Not Manoply
Mongolia,157,-157,172,913,14,12,-55,0,2866,0.45,5,East Asia,Not Manoply
Fiji,152,-152,94,1617,42,34,56,0,4623,0.51,4.9,Oceania,Manoply
Zambia,147,-147,146,1007,27,39,-66,0,8001,0.47,0,Africa,Not Manoply
Ethiopia,123,-123,120,1025,-8,4,-44,0,6049,0.19,4.9,Africa,Not Manoply
Tajikistan,120,-120,84,1429,21,24,-11,0,1984,0.36,4.7,South Asia,Not Manoply
Mozambique,119,-119,126,944,8,13,16,0,5457,0.41,2.4,Africa,Not Manoply
Albania,114,-114,123,927,20,10,-1,0,762,0.78,1.7,Europe,Manoply
Rwanda,97,-97,90,1078,26,20,52,0,1940,0.6,0,Africa,Manoply
Djibouti,96,-94,225,427,-30,25,-18,0,6747,0.66,26,Africa,Manoply
Congo,86,-86,22,3909,12,14,70,0,5858,0.58,4.9,Africa,Manoply
Cuba,79,-79,45,1756,-14,4,-59,0,4192,0.38,6.4,North America,Not Manoply
Benin,63,-63,102,618,156,329,1158,0,8058,0.97,4.7,Africa,Manoply
Guyana,61,-61,29,2103,45,20,42,0,5728,0.3,4.1,South America,Not Manoply
Botswana,61,-61,80,763,8,6,-16,0,1181,0.91,4.2,Africa,Manoply
Belize,57,-57,37,1525,-10,4,-2,0,2054,0.57,4.2,North America,Manoply
Aruba,55,-55,38,1447,39,76,-15,0,3649,1,12,North America,Manoply
Malta,53,-53,55,964,2,-5,10,0,1197,0.31,1.8,Europe,Not Manoply
Syrian Arab Republic,49,-49,86,570,-21,-20,-88,0,7582,0.88,0.9,Middle East,Manoply
Bahamas,42,-42,5,8400,1,13,26,0,2022,1,39.7,North America,Manoply
Lesotho,37,-35,119,311,-12,10,-18,0,369,1,4.2,Africa,Manoply
Burundi,36,-36,43,837,-1,-2,-34,0,4970,0.31,0,Africa,Not Manoply
Bermuda,35,-35,3,11667,0,-21,3,0,2067,1,25,North America,Manoply
Sudan,34,-34,41,829,-35,4,-87,0,2813,1,1.8,Africa,Manoply
Somalia,32,-32,31,1025,21,4,-73,0,4344,0.39,5,Africa,Not Manoply
Suriname,29,-29,26,1115,38,58,45,0,8051,0.38,4.1,South America,Not Manoply
French Polynesia,28,-28,3,9333,-13,-47,17,0,15959,0.39,7.8,Oceania,Not Manoply
"Korea, Democratic People's Republic of",28,42,92,304,43,4,0.5,0,840,1,1.8,East Asia,Manoply
Seychelles,21,-21,5,4200,5,-10,-75,0,7095,0.32,0,Africa,Not Manoply
Bhutan,17,-17,13,1308,3,3,11,0,1298,1,4.9,South Asia,Manoply
Antigua and Barbuda,16,-16,6,2667,-13,-13,-22,0,3652,1,4.7,North America,Manoply
Gabon,16,-16,9,1778,33,4,74,0,6518,0.48,9.8,Africa,Not Manoply
Grenada,13,-13,1,13000,-10,-29,-28,0,3565,0.76,4.4,North America,Manoply
Maldives,13,-13,1,13000,16,0,1,0,4681,0.44,14.6,South Asia,Not Manoply
Cabo Verde,12,-12,11,1091,11,18,37,0,3093,0.71,0,Africa,Manoply
Haiti,8,-8,2,4000,-30,4,55,0,7491,1,3.5,North America,Manoply
Equatorial Guinea,8,-8,3,2667,9,4,-53,0,5555,0.53,9.8,Africa,Manoply
Cameroon,6,-6,2,3000,-45,4,-90,0,4588,1,9.8,Africa,Manoply
Andorra,6,-6,1,6000,2,0,98,0,373,0.56,1.8,Europe,Manoply
Brunei Darussalam,5,-5,2,2500,-12,7,-6,0,1119,0.56,0,Southeast Asia,Manoply
Mauritania,5,-5,39,128,116,4,-34,0,4279,1,5,Africa,Manoply
New Caledonia,5,-5,2,2500,45,4,-36,0,8091,0.52,0,Oceania,Manoply
Curaçao,5,-5,11,455,-27,-3,-28,0,2813,1,1.8,North America,Manoply
Sao Tome and Principe,5,-5,3,1667,6,1,132,0,4615,1,5,Africa,Manoply
